AWARD	DESCRIPTION	female	male	non-binary	transgender female	p_value	start_date	end_date	PERSON
A. I. Virtanen Award	$null$	2.0	5.0	0.0	0.0	0.2265624999999998	1985-01-01T00:00:00Z	2017-01-01T00:00:00Z	Ari Helenius; Esko Nurmi; Johanna Ivaska; Leevi Kääriäinen; Markku Leskela; Pekka Pyykkö; Pirjo Mäkelä
A.G. Huntsman Award for Excellence in the Marine Sciences	medal awarded by the Royal Society of Canada	1.0	8.0	0.0	0.0	0.01953125	1981-01-01T00:00:00Z	2017-01-01T00:00:00Z	Christopher Garrett; Jeffrey A. Hutchings; John Tuzo Wilson; Lynne Talley; Paul Falkowski; Reuben Lasker; Tom Fenchel; Wallace Smith Broecker; Wolfgang H. Berger
A.N. Krylov Prize	award in computational mathematics by the Russian Academy of Sciences	0.0	2.0	0.0	0.0	0.25	1972-01-01T00:00:00Z	2010-01-01T00:00:00Z	Sergei Godunov; Valery Svetlitsky
A.O. Kovalevsky Medal	$null$	0.0	2.0	0.0	0.0	0.25	2003-01-01T00:00:00Z	2013-01-01T00:00:00Z	Denis Duboule; Walter J. Gehring
AA Shakhmatov Prize	Russian prize	2.0	0.0	0.0	0.0	1.0	2003-01-01T00:00:00Z	2012-01-01T00:00:00Z	Anna Pichkhadze; Nadezhda Onipenko
AAAI Fellow	Award	7.0	19.0	0.0	0.0	0.014479637145996085	1990-01-01T00:00:00Z	2020-01-01T00:00:00Z	Charles Lee Isbell, Jr.; Cynthia Breazeal; Dragomir R. Radev; Eric Grimson; Fernando Pereira; Henry Kautz; Karen Spärck Jones; Kevin Leyton-Brown; Marie desJardins; Martha Palmer; Michael L. Littman; Natalya Noy; Padhraic Smyth; Pedro Domingos; Richard E. Korf; Russell Greiner; Saul Amarel; Sylvie Thiebaux; Thomas Binford; Thomas G. Dietterich; Thomas Schiex; Wendy G. Lehnert; William T. Freeman; Wolfgang Bibel; Yann LeCun; Yoshua Bengio
AAAS Award for Science Diplomacy	American science award	1.0	1.0	0.0	0.0	0.75	1998-01-01T00:00:00Z	2008-01-01T00:00:00Z	Julia Marton-Lefèvre; Thomas R. Pickering
AAAS Fellow	award and fellowship	119.0	59.0	0.0	0.0	0.9999980502970942	1936-01-01T00:00:00Z	2020-01-01T00:00:00Z	Achille Messac; Adriana Moreo; Alan Balch; Alejandro Aballay; Alice Agogino; Alice Y. Cheung; Allan Acosta; Alyson G Wilson; Amanda Bryant-Friedrich; Amos Arthur Heller; Amy Cohen-Corwin; Amy K. Wolfe; Andrea Wiley; Angela K. Wilson; Ann Richmond; Anne Kernan; Annette Summers Engel; Barbara J. Graves; Barbara Zilinskas; Ben Ware; Beryl Lieff Benderly; Bianca Bernstein; Bridget Wilson; Cammy Abernathy; Cardy Raper; Carla Caceres; Carol Mason; Carol Wicks; Cassandra Fraser; Catherine G. Constable; Catherine Pringle; Cathie Martin; Cathy L. Whitlock; Cheryl A Kerfeld; Cheryl J. Briggs; Chris Impey; Christine Maziar; Cora Randall; Corrie Moreau; Craig E. Cameron; Cristina Amon; Daniel J. Kleitman; Daniel L. Stein; Daniela Bortoletto; David B. Goldstein; David Eppstein; David Gadsby; David N. Seidman; David Walba; Diana E Wheeler; Dianna Padilla; Dominique M. Bachelet; Donna M Fekete; Dorothy Zolandz; Douglas R. Cavener; Dragomir R. Radev; Edward J. Malecki; Elaine Wethington; Elly Nedivi; 
ACM Distinguished Member	recognizes those ACM members with at least 15 years of professional experience and 5 years of continuous Professional Membership who have achieved significant accomplishments or have made a significant impact on the computing field	18.0	47.0	0.0	0.0	0.0002110651617376026	2006-01-01T00:00:00Z	2019-01-01T00:00:00Z	Aaron Marcus; Abdulmotaleb El Saddik; Ahmed K. Elmagarmid; Albert Zomaya; Anand Sivasubramaniam; András Kornai; Anna Lubiw; Barbara Boucher Owens; Benjamin B. Bederson; Carla Ellis; Cheng Xiang Zhai; Chih-Jen Lin; Christian Cachin; Cynthia A. Phillips; David A. Thomas; David Ungar; Donald Firesmith; Dragomir R. Radev; Ed H. Chi; Elizabeth Belding; Fei-Yue Wang; Gabriele Kotsis; Gail Chapman; Gonzalo Navarro; Ihab Ilyas; James Joshi; Jennifer A. Golbeck; Joaquim A. Jorge; Jock D. Mackinlay; John Impagliazzo; John Stasko; Katherine Isbister; Kathryn S. McKinley; Kevin Leyton-Brown; Kimberly Keeton; Krste Asanović; Larry Constantine; Lawrence Rauchwerger; Maria L. Gini; Mary Beth Rosson; Matthew Flatt; Mauro Pezze; Mehran Sahami; Michael Kölling; Michael T. Goodrich; Michael Waidner; Mordechai Ben-Ari; Murthy Devarakonda; Naehyuck Chang; Nenad Medvidović; Nikil Dutt; Otfried Cheong; Patrick Baudisch; Pierangela Samarati; R. Iris Bahar; Ragunathan Rajkumar; Ricardo Bianchini; Shiuhpyng Shi
ACM Prize in Computing	$null$	2.0	12.0	0.0	0.0	0.006469726562499999	2007-01-01T00:00:00Z	2019-01-01T00:00:00Z	Alexei A. Efros; Dan Boneh; Daphne Koller; David M. Blei; David Silver; Dina Katabi; Eric Brewer; Frans Kaashoek; Jeff Dean; Jon Michael Kleinberg; Sanjay Ghemawat; Sanjeev Arora; Shwetak Patel; Stefan Savage
ACM SIGCHI Lifetime Research Award	Granted to individuals for outstanding contributions to the study of human-computer interaction	1.0	1.0	0.0	0.0	0.75	2019-01-01T00:00:00Z	2020-01-01T00:00:00Z	Hiroshi Ishii; Susan T. Dumais
ACM SIGCHI Lifetime Service Award	Granted to individuals who have contributed to the growth and success of SIGCHI in a variety of capacities	1.0	2.0	0.0	0.0	0.5	2019-01-01T00:00:00Z	2020-01-01T00:00:00Z	Catherine Plaisant; Gilbert Cockton; William E Hefley
ACM SIGCHI Outstanding Dissertation Award	recognizes excellent thesis research by recent Ph.D. recipients in Human-Computer Interaction	1.0	2.0	0.0	0.0	0.5	2019-01-01T00:00:00Z	2020-01-01T00:00:00Z	Anna Maria Feit; Paul Strohmeier; Robert Xiao
ACM SIGCHI Social Impact Award	Granted to mid-level or senior individuals who promote the application of human-computer interaction research to pressing social needs	2.0	1.0	0.0	0.0	0.875	2019-01-01T00:00:00Z	2020-01-01T00:00:00Z	Bonnie Nardi; Gillian Hayes; Ronald Baecker
ACM SIGUCCS Hall of Fame Award	computing services award	2.0	1.0	0.0	0.0	0.875	2004-01-01T00:00:00Z	2009-01-01T00:00:00Z	Glenn Ricart; Susan Nycum; Thea D. Hodge
ACM Software System Award	award by the Association for Computing Machinery	3.0	62.0	0.0	0.0	1.2421162189080174e-15	1983-01-01T00:00:00Z	2018-01-01T00:00:00Z	Adele Goldberg; Alan Kay; Alfred Spector; Amir Pnueli; Bertrand Meyer; Bob Frankston; Bob Kahn; Bruce Jay Nelson; Butler Lampson; Charles Geschke; Charles P. Thacker; Chris Lattner; Christine Paulin-Mohring; Dan Bricklin; Dan Ingalls; Daniel G. Bobrow; David DeWitt; David Harel; Dennis M. Ritchie; Donald D. Chamberlin; Donald Knuth; Douglas Engelbart; Edouard Bugnion; Eric Bina; Erich Gamma; Gerald Combs; Gerard J. Holzmann; Gérard Huet; Ivan Sutherland; J Strother Moore; James Gosling; Jeff Rulifson; Jeffrey Naughton; Jim Gray; John Chambers; John Ousterhout; John T. Riedl; John Warnock; Joseph Konstan; Ken Thompson; L Peter Deutsch; Mahadev Satyanarayanan; Marc Andreessen; Matt Kaufmann; Mendel Rosenblum; Michael Stonebraker; Murali Krishna; Patricia Selinger; Randy Terbush; Richard Stallman; Rob Hartill; Robert Cailliau; Robert Gerber; Robert S. Boyer; Robert Taylor; Ronald Kaplan; Roy Fielding; Simon S. Lam; Stuart Feldman; Thierry Coquand; Tim Berners-Lee; Vikram Adve; Vint Cerf; 
ACS Award in Pure Chemistry	award of the American Chemical Society	1.0	13.0	0.0	0.0	0.0009155273437500001	1931-01-01T00:00:00Z	1999-01-01T00:00:00Z	Carl Djerassi; Chad Mirkin; Dudley R. Herschbach; Edgar Bright Wilson; George M. Whitesides; Glenn Seaborg; Harrison Brown; Harry B. Gray; Jacqueline Barton; John D. Roberts; John Gamble Kirkwood; Kenneth Pitzer; Linus Pauling; Stuart Schreiber
ACS Award in Surface Chemistry	award of the ACS	0.0	1.0	0.0	0.0	0.5	1967-01-01T00:00:00Z	1967-01-01T00:00:00Z	Stanley G. Mason
ACS Physical Chemistry Division Award in Experimental Physical Chemistry	award of the American Chemical Society	0.0	1.0	0.0	0.0	0.5	2013-01-01T00:00:00Z	2013-01-01T00:00:00Z	Dana D. Dlott
AIA Gold Medal	$null$	1.0	21.0	0.0	0.0	5.483627319335937e-06	1909-01-01T00:00:00Z	2016-01-01T00:00:00Z	Alvar Aalto; Auguste Perret; Buckminster Fuller; Charles Follen McKim; Charles Moore; César Pelli; Denise Scott Brown; Edwin Lutyens; Eliel Saarinen; Frank Gehry; George B. Post; Glenn Murcutt; Jean-Louis Pascal; Josep Lluís Sert; Marcel Breuer; Moshe Safdie; Norman Foster; Philip Johnson; Renzo Piano; Richard Meier; Robert Venturi; Victor Laloux
AMA Scientific Achievement Award	award	2.0	19.0	0.0	0.0	0.000110626220703125	1962-01-01T00:00:00Z	2002-01-01T00:00:00Z	Arthur Kornberg; Choh Hao Li; David Baltimore; Donald Van Slyke; Edward Calvin Kendall; F. Mason Sones; Francis Collins; Gregory Goodwin Pincus; Harry Goldblatt; Helen B. Taussig; John Franklin Enders; Maurice Hilleman; Norman Shumway; Philip Handler; René Dubos; Robert Burns Woodward; Rosalyn Sussman Yalow; Solomon Halbert Snyder; Tom Maniatis; Wendell Meredith Stanley; William B. Kouwenhoven
ANZAAS Medal	science award in New Zealand	2.0	24.0	0.0	0.0	5.245208740234375e-06	1968-01-01T00:00:00Z	2015-01-01T00:00:00Z	Arthur Bache Walkom; Arthur Birch; Arvi Parbo; Charles Alexander Fleming; David Blair; Dorothy Hill; Edward Holbrook Derrick; Eric Underwood; Frank Fenner; Gustav Nossal; H. C. Coombs; Harry Messel; Ian Wark; Jacques Miller; John Boldeman; John Crawford; John Mulvaney; John Paul Wild; John Robert de Laeter; Mark Oliphant; Mollie Holman; Peter H. Raven; Ralph Slatyer; Robert Hanbury Brown; Rutherford Ness Robertson; Samuel Warren Carey
APA Award for Distinguished Scientific Contributions to Psychology	$null$	27.0	127.0	0.0	0.0	5.2110800045603046e-17	1956-01-01T00:00:00Z	2016-01-01T00:00:00Z	Albert Bandura; Alice Eagly; Allen Newell; Alvin Liberman; Angus Campbell; Anne Treisman; Avshalom Caspi; B. F. Skinner; Barry Everitt; Beatrice C. Lacey; Benton J. Underwood; Bruce McEwen; Carl Hovland; Carl Pfaffmann; Carol A. Barnes; Charles E. Osgood; Charles G. Gross; Clarence Henry Graham; Claude Steele; Clyde Coombs; Daniel Kahneman; Daniel Schacter; David E. Meyer; David Krech; David M. Green; David McClelland; David Shakow; Dedre Gentner; Donald B. Lindsley; Donald Broadbent; Donald T. Campbell; Dorothea Jameson; Douglas L. Medin; E. Mavis Hetherington; E. Tory Higgins; Ed Diener; Edna B. Foa; Edward E. Jones; Edward Smith; Edwin E. Ghiselli; Eleanor J. Gibson; Eleanor Maccoby; Elizabeth Spelke; Ellen S. Berscheid; Endel Tulving; Floyd Henry Allport; Floyd Ratliff; Frances K. Graham; Frank Ambrose Beach; Frederic M. Lord; Fritz Heider; George Armitage Miller; George Sperling; Gordon Allport; Gunnar Johansson; Harold Kelley; Harry Harlow; Harry Helson; Hazel Rose Markus; Henry 
ASA Silver Medal	$null$	4.0	20.0	0.0	0.0	0.0007719397544860841	1974-01-01T00:00:00Z	2015-01-01T00:00:00Z	Andrea Prosperetti; Carleen Hutchins; Clarence S. Clay, Jr.; D. Van Holliday; Franklin S. Cooper; Gunnar Fant; Harry F. Olson; Hugh S. Knowles; Ingo Titze; James A. Simmons; John Backus; John Ohala; Katherine Safford Harris; Kenneth N. Stevens; Lloyd A. Jeffress; Mack A. Breazeale; Max Mathews; Patricia K. Kuhl; Per Vilhelm Brüel; Peter Ladefoged; Peter Westervelt; Richard H. Lyon; Sheila Blumstein; Whitlow Au
ASME Medal	"highest award of ASME for ""eminently distinguished engineering achievement"""	0.0	10.0	0.0	0.0	0.0009765625	1930-01-01T00:00:00Z	2014-01-01T00:00:00Z	Charles F. Kettering; Harry Franklin Vickers; Jacob Pieter Den Hartog; John Abele; Miklós Hoff; Morris E. Leeds; Theodore von Kármán; Van C. Mow; Waloddi Weibull; William Le Roy Emmet
Abdus Salam Medal	Italian science award	0.0	9.0	0.0	0.0	0.001953125	1995-01-01T00:00:00Z	2015-01-01T00:00:00Z	Chintamani Nagesa Ramachandra Rao; Federico Mayor Zaragoza; Jacob Palis; José I. Vargas; Lu Yongxiang; Mambillikalathil Govind Kumar Menon; Mohamed H.A. Hassan; Paolo Budinich; Thomas Risley Odhiambo
Abel Prize	international prize presented by the King of Norway to one or more outstanding mathematicians	1.0	17.0	0.0	0.0	7.2479248046875e-05	2003-01-01T00:00:00Z	2020-01-01T00:00:00Z	Andrew Wiles; Endre Szemerédi; Grigory Margulis; Hillel Furstenberg; Isadore Singer; Jacques Tits; Jean-Pierre Serre; John Forbes Nash; John G. Thompson; John Milnor; Karen Keskulla Uhlenbeck; Lennart Carleson; Louis Nirenberg; Mikhail Leonidovich Gromov; Pierre Deligne; Robert Langlands; Sathamangalam Ranga Iyengar Srinivasa Varadhan; Yves Meyer
Abercrombie Prize	$null$	0.0	3.0	0.0	0.0	0.125	1961-01-01T00:00:00Z	2008-01-01T00:00:00Z	Jan Gehl; Peter Hall; Sven Markelius
Abraham Pais Prize for History of Physics	annual prize recognizes outstanding scholarly achievements in the history of physics	2.0	11.0	0.0	0.0	0.011230468750000002	2005-01-01T00:00:00Z	2017-01-01T00:00:00Z	Allan Franklin; David C. Cassidy; Gerald Holton; John L. Heilbron; Lillian Hoddeson; Martin J. Klein; Mary Jo Nye; Max Jammer; Roger H. Stuewer; Russell McCormmach; Silvan S. Schweber; Spencer R. Weart; Stephen Brush
Academic Prize	$null$	1.0	2.0	0.0	0.0	0.5	2010-01-01T00:00:00Z	2012-01-01T00:00:00Z	Dag Olav Hessen; Karl Ove Moene; Sissel Rogne
Academy Award of the Bavarian Academy of Sciences	$null$	3.0	10.0	0.0	0.0	0.046142578125000014	1986-01-01T00:00:00Z	2015-01-01T00:00:00Z	Dagmar von Helversen; Hartmut Mehlitz; Helmut Boese; Karl Bayer; Klaus-Peter Kelber; Lenz Meierott; Martha Haussperger; Otto Braasch; Otto Gritschneder; Peter Rau; Ursula Koch; Walter Metzner; Wolf-Armin von Reitzenstein
Academy Award of the Hungarian Academy of Sciences	award	13.0	127.0	0.0	0.0	5.7244812511442465e-25	1961-01-01T00:00:00Z	2016-01-01T00:00:00Z	Adorján Bartha; Alajos Kálmán; Andor Berei; András Hegedüs; András Martinkó; András Spät; Antal Kiss; Antal László; Antal Mátyás; Antal Ádám; Antal Ádám; Attila Demény; Bálint Csatári; Béla Flerkó; Béla Halász; Béla Kőhalmi; Béla Pomogáts; Csaba Csapodi; Csaba Csuzdi; Csaba Csáki; Csaba Pléh; Elemér Mályusz; Emil Niederhauser; Emil Niederhauser; Ernő Mészáros; Ernő Takács; Ervin Pamlényi; Erzsébet Ligeti; Erzsébet Nováky; Erzsébet Szalai; Eva Kondorosi; Felinger Attila; Ferenc Bíró; Ferenc Gécseg; Ferenc Horváth; Ferenc Pusztai; Frigyes Solymosi; Gordos Géza; Gyula Faigel; György Bodnár; György Horvai; György Kosztolányi; György Marx; György Márkus; György Romhányi; György Romhányi; György Székely; Györgyné Balázs; Gábor Miklós; Gábor Tusnády; Gábor Vékony; Géza Fogarasi; Imre Kátai; Imre Vörös; István Andrássy; István Hahn; István Ketskeméty; István Klinghammer; István Menyhárd; István Teplán; Iván Harsányi; Jenő Szilárd; Judit Németh; Judit Veress; János Aczél; János Gergely; János H
Acfas Andre-Laurendeau Award	$null$	8.0	19.0	0.0	0.0	0.026119492948055264	1986-10-01T00:00:00Z	2016-10-18T00:00:00Z	André Gaudreault; Andrée Lajoie; Anna Maria Di Sciullo; Benoît Melançon; Bernard Beugnot; Claire Lefebvre; Fernande Saint-Martin; François Duchesneau; François Ricard; François-Marc Gagnon; Igor Mel'čuk; Jean Grondin; Joanne Burgess; Josiane Boulad-Ayoub; Laurent Mailhot; Laurent Santerre; Lise Gauvin; Louise Marcil; Marc Angenot; Paul Villeneuve; Paul-André Linteau; Paul-Hubert Poirier; Raymond Lemieux; Richard Bodéüs; Robin Yates; Stéphane Vachon; Yvan Lamonde
Ackermann–Teubner Memorial Award	award	1.0	14.0	0.0	0.0	0.0004882812499999999	1914-01-01T00:00:00Z	1941-01-01T00:00:00Z	Albert Defant; Arnold Kohlschütter; Emil Artin; Emmy Noether; Enzo Zermelo; Erich Hecke; Erich Trefftz; Felix Klein; Gustav Mie; Johannes Tropfke; Ludwig Prandtl; Pascual Jordan; Paul Koebe; Paul ten Bruggencate; Wilhelm Blaschke
Adam Smith Award	$null$	1.0	19.0	0.0	0.0	2.0027160644531247e-05	1982-01-01T00:00:00Z	2014-01-01T00:00:00Z	Alan Blinder; Ben Bernanke; Dale W. Jorgenson; Douglass North; George Soros; George Stigler; Henry Kaufman; Herbert Stein; James M. Buchanan; James Tobin; Janet Yellen; Kenneth Rogoff; Lawrence Klein; Lawrence Summers; Martin Feldstein; Michael Mussa; Milton Friedman Correa; Paul Krugman; Roger W. Ferguson, Jr.; William Poole
Adams Prize	award	4.0	71.0	0.0	0.0	3.403553082613151e-17	1850-01-01T00:00:00Z	2019-01-01T00:00:00Z	Abdus Salam; Abram Samoilovitch Besicovitch; Alan Baker; Alan Herries Wilson; Augustus Edward Hough Love; Bernard Carr; Bernhard Neumann; Brian D. Ripley; Charles Burkill; Christopher Hooley; Claudia de Rham; Clément Mouhot; Dan Segal; David Tong; Dominic Joyce; Edward Routh; Edward Walker; Ernest William Brown; Françoise Tisseur; Geoffrey Ingram Taylor; George Adolphus Schott; George Batchelor; Gilbert Walker; Harald Helfgott; Harold Davenport; Harold Jeffreys; Heather Harrington; Hector Munro Macdonald; Homi Jehangir Bhabha; Hugh Montgomery; Isaac Todhunter; Ivan Smith; J. J. Thomson; Jacques Vanneste; James Clerk Maxwell; James G. Oldroyd; James Hopwood Jeans; Jayant Vishnu Narlikar; John Fitch; John G. Taylor; John Henry Poynting; John Macnaghten Whittaker; John Robert Ringrose; John William Nicholson; Joseph Larmor; Joseph Proudman; Leslie Howarth; Martin J. Taylor; Michael E. McIntyre; Mihalis Dafermos; Owen Martin Phillips; Paul Fearnhead; Paul Glendinning; Paul Taunton Matthews
Adolf-von-Baeyer Gold Medal	$null$	0.0	54.0	0.0	0.0	5.551115123125783e-17	1911-01-01T00:00:00Z	2017-01-01T00:00:00Z	Adolf Grün; Adolf Otto Reinhold Windaus; Alfred Rieche; Armin de Meijere; Arthur Zitscher; Bernhard Heymann; Carl Neuberg; Carsten Bolm; Christoph Rüchardt; Dieter Hoppe; Erich Haack; Eugen Müller; Franz Sondheimer; François Diederich; Fritz Lindner; Fritz Vögtle; Georg Wittig; Gerhard Erker; Gerhard Schrader; Gustav Ehrhart; Günther Maier; Hans Albert Offe; Heinrich Ruschig; Heinz Staab; Henning Hopf; Hermann Fischer; Horst Prinzbach; John Eggert; Karl Lüdecke; Klaus Hafner; Klaus Müllen; Manfred Regitz; Max von Laue; Oskar Dressel; Otto Bayer; Otto Diels; Otto J. Scherer; Otto Roelen; Otto Warburg; Paul Friedländer; Paul Schlack; Paul von Ragué Schleyer; Peter Schreiner; Richard Kothe; Richard Kuhn; Richard Willstätter; Rolf Gleiter; Rudolf Wiechert; Siegfried Hünig; Walter Reppe; Wilhelm Connstein; Wolfgang Kirmse; Wolfgang Richard Roth; Wolfram Sander
Adolph Lomb Medal	award	7.0	30.0	0.0	0.0	9.553821291774513e-05	1940-01-01T00:00:00Z	2019-01-01T00:00:00Z	Aden Meinel; Alexander Szameit; Alexei Vladimirovich Sokolov; Andrea Alù; Andrei Faraon; Andrew M. Weiner; Barbara A. Paldus; Ben Eggleton; C. Kumar N. Patel; David A. B. Miller; David MacAdam; David Welch; Dirk Robert Englund; Edward Adelson; Edward L. O'Neill; Ekmel Özbay; Eli Yablonovitch; Elizabeth M. C. Hillman; Hatice Altug; Henry Kapteyn; James Forsyth; James Gilbert Baker; Jennifer Dionne; Jeremy N. Munday; Jeremy O'Brien; John Charles Howell; Jun Ye; Liu Na; Marin Soljačić; Marlan Scully; Mikhail Lukin; Randy A. Bartels; Rebekah A. Drezek; Robert Clark Jones; Robert L. Byer; Shanhui Fan; Susana Marcos Celestino
Aga Khan Award for Architecture	architecture prize	1.0	8.0	0.0	0.0	0.01953125	1980-01-01T00:00:00Z	2016-01-01T00:00:00Z	André Ravéreau; Balkrishna Doshi; Cengiz Bektaş; Fuensanta Nieto; Geoffrey Bawa; Jean Nouvel; Paul Andreu; Rifat Chadirji; Zhang Ke
Agnes Fay Morgan Research Award	award for research achievement in the field of chemistry	22.0	1.0	0.0	0.0	0.9999998807907104	1969-01-01T00:00:00Z	2019-01-01T00:00:00Z	Alanna Schepartz; Amy Lucia Prieto; Anna Krylov; Cynthia Friend; Geraldine L. Richmond; Helen Blackwell; Jacqueline Barton; Jennifer S. Brodbelt; Jin Kim Montclare; Julia Taylor Ross; Lauren Webb; Leslie M. Hicks; Malika Jeffries-EL; Marcetta Y. Darensbourg; Marion C. Thurnauer; Mary L. Good; Marye Anne Fox; Mei Hong; Michelle Chang; Nancy Makri; Sharon Hammes-Schiffer; Tamar Schlick; Vy Dong
Ahmed Zewail Award	award of American Chemical Society	0.0	1.0	0.0	0.0	0.5	2016-01-01T00:00:00Z	2016-01-01T00:00:00Z	Andrei Tokmakoff
Akademiehoogleraren Prize	award	2.0	2.0	0.0	0.0	0.6875	2004-01-01T00:00:00Z	2013-01-01T00:00:00Z	Ewine van Dishoeck; Liesbeth de Vries; René Bernards; Rutger van Santen
Akademiepenning	$null$	1.0	29.0	0.0	0.0	2.8870999813079844e-08	1983-01-01T00:00:00Z	2016-01-01T00:00:00Z	Alexander Rinnooy Kan; Andrei Sakharov; C.A. van den Beld; Cornelis de Jager; Dick Swaab; Dirk van Dalen; Emeri van Donzel; Emmo Meijer; Freddy Heineken; George Puchinger; Gerard 't Hooft; Hendrik C. van de Hulst; Jaap van der Gouw; Jacobus Verhoeff; Jan Hulsker; Jan van Baal; Johan Polak; Joop Klant; Joost Ritman; Leo Jansen; Leo Vroman; Martinus J. G. Veltman; Paul Schnabel; Pierre H. Dubois; Pierre Vinken; Piet Sanders; Rob Nieuwenhuys; Robert-Jan Smits; Simone Dubois; Ton Koopman
Alan T. Waterman Award	American science award	2.0	6.0	0.0	0.0	0.14453124999999994	1981-01-01T00:00:00Z	2008-01-01T00:00:00Z	Eric Allin Cornell; Jacqueline Barton; Jennifer Doudna; Lawrence Summers; Peidong Yang; Richard Axel; Terence Tao; W. Clark Still
Albert Defant Medal	$null$	1.0	6.0	0.0	0.0	0.0625	1986-01-01T00:00:00Z	2016-01-01T00:00:00Z	Hans Ulrich Roll; Henry Stommel; Jürgen Sündermann; Klaus Wyrtki; Monika Rhein; Pierre Welander; Wolfgang Krauss
Albert Einstein Award	award in theoretical physics	0.0	13.0	1.0	0.0	0.0001220703125	1951-01-01T00:00:00Z	1979-01-01T00:00:00Z	Edward Teller; Eugene Wigner; John Archibald Wheeler; Julian Schwinger; Kurt Gödel; Kurt Gödel; Leó Szilárd; Luis Walter Alvarez; Marshall Rosenbluth; Richard Feynman; Stephen Hawking; Tullio Regge; Willard Libby; Yuval Ne'eman
Albert Einstein Medal	science award	1.0	26.0	0.0	0.0	2.0861625671386727e-07	1979-01-01T00:00:00Z	2018-01-01T00:00:00Z	Adam Riess; Alain Aspect; Charles W. Misner; Chen-ning Yang; Claude Nicollier; Edward Witten; Friedrich Hirzebruch; Gabriele Veneziano; George F. Smoot; Gustav Andreas Tammann; Hermann Bondi; Hubert Reeves; Irwin I. Shapiro; Jeanne Hersch; Johannes Geiss; John Archibald Wheeler; Joseph Hooton Taylor; Juan Martín Maldacena; Kip S. Thorne; Markus Fierz; Michel Mayor; Roy Kerr; Rudolf Mössbauer; Saul Perlmutter; Stanley Deser; Stephen Hawking; Thibault Damour
Albert Einstein World Award of Science	Recognition and encouragement for scientific and technological research and development.	1.0	4.0	1.0	0.0	0.1875	1951-01-01T00:00:00Z	2012-01-01T00:00:00Z	Ada Yonath; Ahmed Zewail; Frank Sherwood Rowland; Kurt Gödel; Kurt Gödel; Michael Grätzel
Albert Lasker Award for Basic Medical Research	American science award	2.0	24.0	0.0	0.0	5.245208740234375e-06	1955-01-01T00:00:00Z	2017-01-01T00:00:00Z	Albert Coons; Alfred Hershey; Carl J. Wiggers; Christiane Nüsslein-Volhard; Clay Armstrong; César Milstein; Douglas L. Coleman; Emil R. Unanue; Ernst Ruska; Evelyn M. Witkin; George Emil Palade; Gregg L. Semenza; Isaac Starr; Jack Szostak; James D. Watson; John Gurdon; John Hughes; Lee Hartwell; Leroy Hood; Michael N. Hall; Paul Berg; Philip Leder; Pierre Chambon; Robert W. Holley; Stanley Cohen; Theodore Puck
Albert Lasker Special Achievement Award	medical research award	2.0	2.0	0.0	0.0	0.6875	2004-01-01T00:00:00Z	2018-01-01T00:00:00Z	Joan A. Steitz; Mary-Claire King; Matthew Meselson; Tom Maniatis
Albertus-Magnus professorate	science award conferred by the University of Cologne	0.0	2.0	0.0	0.0	0.25	2011-01-01T00:00:00Z	2013-01-01T00:00:00Z	John Searle; Noam Chomsky
Albrecht Penck medal	$null$	0.0	11.0	0.0	0.0	0.00048828125	1958-01-01T00:00:00Z	2014-01-01T00:00:00Z	Alfred Rust; Arno Semmel; Carl Troll; Gerd Lüttig; Hans Graul; Henri Breuil; Karl-Ernst Behre; Klaus-Dieter Jäger; Lothar Eißmann; Martin Schwarzbach; Paul Woldstedt
Alexander Agassiz Medal	science award	1.0	35.0	0.0	0.0	5.384208634495733e-10	1920-01-01T00:00:00Z	2010-01-01T00:00:00Z	Albert Defant; Alfred C. Redfield; Bjørn Helland-Hansen; Carl Eckart; Cesare Emiliani; Charles Dwight Sigsbee; Edgar Johnson Allen; Edward Bullard; Felix Andries Vening Meinesz; Frank Rattray Lillie; Frederick C. Fuglister; Haakon H. Gran; Harald Sverdrup; Harry A. Marmer; Henry Bryant Bigelow; Henry Stommel; Hildebrand Wolfe Harvey; James R. Ledwell; Johannes Schmidt; John H. Steele; John Stanley Gardiner; Joseph L. Reid; Joseph Proudman; Klaus Wyrtki; Martin W. Johnson; Maurice Ewing; Max Wilhelm Carl Weber; Otto Pettersson; Roger Revelle; Sallie W. Chisholm; T. Wayland Vaughan; Thomas Gordon Thompson; Vagn Walfrid Ekman; Vilhelm Bjerknes; Wallace Smith Broecker; Walter Munk
Alexander Hollaender Award in Biophysics	$null$	0.0	7.0	0.0	0.0	0.0078125	1998-01-01T00:00:00Z	2016-01-01T00:00:00Z	Barry Honig; Carlos Bustamante; David J. DeRosier; King-Wai Yau; Richard Henderson; Watt W. Webb; Wayne Hendrickson
Alexander Popov Gold Medal	$null$	0.0	1.0	0.0	0.0	0.5	1974-01-01T00:00:00Z	1974-01-01T00:00:00Z	Vladimir Kotelnikov
Alexander von Humboldt Medal	award conferred by the Berlin Geographical Society	0.0	14.0	0.0	0.0	6.103515625e-05	1878-01-01T00:00:00Z	1984-01-01T00:00:00Z	Alfred Merz; Carl O. Sauer; Chauncy Harris; Eduard Imhof; Fridtjof Nansen; Hans Boesch; Herbert Wilhelmy; Hermann Haack; Hermann Lautensach; John Murray; Julius Büdel; Nikolay Mikhaylovich Przhevalsky; Roald Amundsen; Sven Hedin
