AWARD	DESCRIPTION	female	male	non-binary	transgender female	p_value	start_date	end_date	PERSON
Stuart Ballantine Medal	$null$	0.0	44.0	0.0	0.0	5.684341886080802e-14	1947-01-01T00:00:00Z	1993-01-01T00:00:00Z	Albert H. Taylor; Alec Reeves; Ali Javan; Amos E. Joel, Jr.; Andrew H. Bobeck; Arthur C. Clarke; Arthur Leonard Schawlow; Benjamin Abeles; C. Kumar N. Patel; Charles Hard Townes; Charles K. Kao; Claude Shannon; Daniel E. Noble; Dawon Kahng; Emmett Leith; George Clark Southworth; George E. Smith; Harald T. Friis; Harry Nyquist; Henry Evelyn Derek Scovil; Homer Dudley; Jack James; Jack Kilby; John Bardeen; John Madey; John R. Pierce; Kenneth Bullington; Leo C. Young; Leo Esaki; Leroy Chang; Marcian Hoff; Nicolaas Bloembergen; Raymond D. Kell; Robert J. Parks; Robert Morris Page; Robert Noyce; Rolf Landauer; Rudolf Kompfner; Sergei Alexander Schelkunoff; Stewart E. Miller; Theodore Maiman; Walter Houser Brattain; Willard Boyle; Zhores Alfyorov
Sue Tyler Friedman Medal	price awarded by the Geological Society of London	1.0	14.0	0.0	0.0	0.0004882812499999999	1988-01-01T00:00:00Z	2017-01-01T00:00:00Z	David Branagan; David R. Oldroyd; Edward Rose; François Ellenberger; Gordon L. Herries Davies; Henry R. Frankel; Hugh Torrens; Jack Morrell; Martin J. S. Rudwick; Mott T. Greene; Philippe Taquet; Richard Howarth; Thomas George Vallance; Ursula B. Marvin; William Sarjeant
Sultan Qaboos Prize for Environmental Preservation	environmental award	0.0	2.0	0.0	0.0	0.25	1993-01-01T00:00:00Z	2005-01-01T00:00:00Z	Ernesto Enkerlin; Jan Jeník
Swan Medal	physics award	0.0	11.0	0.0	0.0	0.00048828125	2008-01-01T00:00:00Z	2016-01-01T00:00:00Z	David Fyfe; David McMurtry; Donal Denvir; Graeme Malcolm; Graham John Bartey; Iain Baikie; John Deer; Michael Payne; Michael Pepper; Richard Friend; Stuart Parkin
Swartz Prize	prize of the Society for Neuroscience	0.0	5.0	0.0	0.0	0.03125	2009-01-01T00:00:00Z	2020-01-01T00:00:00Z	Emery Brown; Horace Barlow; John Rinzel; Kenneth D. Miller; Tomaso A. Poggio
Swedish cancer researcher of the year	$null$	3.0	2.0	0.0	0.0	0.8125	2016-01-01T00:00:00Z	2021-01-01T00:00:00Z	Anna Martling; Fredrik Mertens; Lena Claesson-Welsh; Ruth Palmer; Thomas Helleday
Systembolagets Alcohol Research Prize	$null$	0.0	2.0	0.0	0.0	0.25	2016-01-01T00:00:00Z	2017-01-01T00:00:00Z	Mats Berglund; Thor Norström
Széchenyi Prize	award in Hungary	28.0	395.0	0.0	0.0	2.2525052980384733e-84	1986-01-01T00:00:00Z	2019-01-01T00:00:00Z	Adorján Bartha; Alajos Kálmán; Alex Szalay; Alfréd Zawadowski; Ambrus Miskolczy; Andor Pigler; András Batta; András Bródy; András Falus; András Frank; András Gerő; András Jánossy; András Kertész; András Lipták; András Lévai; András Madas; András Némethi; András Prékopa; András Roósz; András Róna-Tas; András Spät; András Szőllősy; András Sárközy; András Vizkelety; Anna Erdei; Antal Bánhidi; Antal Mátyás; Antal Plesz; Antal Ádám; Attila Borhidi; Attila Dobozy; Attila Harmathy; Attila Vértes; Balogh János; Balázs Lengyel; Barnabás Géczy; Bertalan Andrásfalvy; Beáta Barnabás; Beáta Thomka; Botond Penke; Bálint Sárosi; Béla Bacsó; Béla Bollobás; Béla Győrffy; Béla Halmos; Béla Halász; Béla Johan; Béla Márkus; Béla Nagy; Béla Pomogáts; Csaba Bodonyi; Csaba Csapodi; Csaba Csáki; Csaba Pléh; Csaba Szántay; Csaba Varga; Csanád Bálint; Dezső Keresztury; Domokos Boda; Domokos Kosáry; Domokos Szász; Dénes Dudits; E. Kelemen; Edit Oláh; Elemér Hankiss; Emil Niederhauser; Emil Pásztor; Endre Bojtár;
Sächsischer Landespreis für Heimatforschung	german award for local historians	0.0	7.0	0.0	0.0	0.0078125	2010-01-01T00:00:00Z	2018-10-26T00:00:00Z	Bernd Lahl; Frank Teller; Hans Klecker; Joachim Krause; Michael Düsing; Rolf Weber; Uwe Schneider
The A. A. Belopolsky Prize	Russian science award	0.0	1.0	0.0	0.0	0.5	2011-01-01T00:00:00Z	2011-01-01T00:00:00Z	Alexander Boyarchuk
The Brain Prize	Danish science award in neuroscience	5.0	24.0	0.0	0.0	0.0002730563282966613	2011-01-01T00:00:00Z	2020-01-01T00:00:00Z	Adrian Peter Bird; Anne Joutel; Arthur Konnerth; Bart De Strooper; Christian Haass; Christine Petit; David Tank; Edward Boyden; Elisabeth Tournier-Lasserve; Ernst Bamberg; Georg Nagel; Gero Miesenböck; Giacomo Rizzolatti; Graham Collingridge; John Anthony Hardy; Karen Steel; Karl Deisseroth; Marie-Germaine Bousser; Michel Goedert; Peter Dayan; Peter Hegemann; Péter Somogyi; Richard G. Morris; Stanislas Dehaene; Tamás Freund; Timothy Bliss; Trevor W. Robbins; Winfried Denk; Wolfram Schultz
The Dorothy and Lillian Gish Prize	architecture prize	0.0	1.0	0.0	0.0	0.5	1994-01-01T00:00:00Z	1994-01-01T00:00:00Z	Frank Gehry
The EMET Prize for Art, Science and Culture	$null$	18.0	88.0	0.0	0.0	1.4853851278913846e-12	2002-01-01T00:00:00Z	2019-01-01T00:00:00Z	Abraham Nitzan; Ada Yonath; Aharon Barak; Aharon Razin; Alexander Levitzki; Amos Kloner; Ariel Porat; Ariel Rubinstein; Avishai Margalit; Azar Gat; Ben-Zion Shilo; Benjamin Z. Kedar; Betty Olivero; Carmela Menashe; David Dean Shulman; David Harel; David Heyd; David Wallach; Dov Schwartz; Elhanan Helpman; Eliora Ron; Emanuel Tov; Ephraim Stern; Eva Illouz; Gershon Ben-Shakhar; Haim Harari; Haim Sompolinsky; Hanan Laskin; Harry J. Lipkin; Hillel Furstenberg; Howard Cedar; Igal Talmi; Ilan Chet; Itamar Singer; Itamar Willner; Joseph Bernstein; Joshua Jortner; Leo Sachs; Leslie Leiserowitz; Mario Mikulincer; Max Jammer; Meir Benayahu; Meir Lahav; Meir Wilchek; Menahem E. Yaari; Micha Sharir; Michael O. Rabin; Michal Rovner; Michal Schwartz; Michel Revel; Miki Kratsman; Miriam Ben-Peretz; Mordechai Segev; Moshe Abeles; Moshe Bar-Asher; Moshe Caspi; Moshe Idel; Moshe Oren; Moti Heiblum; Moussa B.H. Youdim; Myriam Yardeni; Naama Goren-Inbar; Nahum Tevet; Nitza Metzger-Szmuk; Noam Sheriff; Oha
The George B. Dantzig Prize	award	1.0	16.0	0.0	0.0	0.0001373291015625	1982-01-01T00:00:00Z	2015-01-01T00:00:00Z	Alexander Schrijver; Arkadi Nemirovski; Claude Lemaréchal; Dimitri Bertsekas; Ellis L. Johnson; Gérard Cornuéjols; Jong-shi Pang; Jorge Nocedal; Manfred Padberg; Martin Grötschel; Michael J. D. Powell; Michael Jeremy Todd; Roger Fletcher; Roger J-B Wets; Stephen M. Robinson; Yurii Nesterov; Éva Tardos
The James Sivartsen Prize in Cancer Research	The James Sivartsen Prize in Cancer Research is awarded each year to a researcher who is doing the most innovative work with application to the field of cancer research.	0.0	1.0	0.0	0.0	0.5	2019-01-01T00:00:00Z	2019-01-01T00:00:00Z	Asael Lubotzky
The James Smithson Bicentennial Medal	award	0.0	5.0	0.0	0.0	0.03125	2005-01-01T00:00:00Z	2016-01-01T00:00:00Z	Ellsworth Kelly; Jeff Bezos; Ralph Lauren; Sebastian Thrun; Stephen Hawking
The Louis and Artur Lucian Award in Cardiovascular Diseases	prize for medicine	2.0	14.0	0.0	0.0	0.0020904541015624996	1978-01-01T00:00:00Z	2016-01-01T00:00:00Z	Brian Kobilka; David Ginsburg; Garret A. FitzGerald; Gilbert Thompson; Ian Phillips; Jeffery D. Molkentin; John Brereton Barlow; José Jalife; Judah Folkman; Marlene Rabinovitch; Maya Simionescu; Michael Anthony Gimbrone; Nicolae Simionescu; Robert F. Furchgott; Robert Lefkowitz; Salvador Moncada
The Murchison Fund	award from the Geological Society of London	7.0	48.0	0.0	0.0	6.543793062974143e-09	1873-01-01T00:00:00Z	2006-01-01T00:00:00Z	Albert Charles Seward; Anthony Hallam; Anthony Leonard Harris; Arthur Elijah Trueman; Arthur Morley Davies; Barrie Rickards; Charles Lapworth; Clement Reid; Cyril James Stubblefield; Dougal Jerram; Edward Howel Francis; Eleanor Mary Reid; Elizabeth Gray; Emily Dix; Ethel Skeat; Felix Oswald; Frank Rutley; George Barrow; George Walter Tyrrell; Grenville Cole; Harold G. Reading; Harry Govier Seeley; Henry Dighton Thomas; Horace Bolingbroke Woodward; J. Wilfrid Jackson; James Croll; Jane Longstaff; Jane Plant; John Frederick Blake; John Frederick Dewey; John Graham Ramsay; John Harrison; Jon Blundy; Kingsley Charles Dunham; Leonard Frank Spath; Leslie Reginald Cox; Michael Coward; Nancy Kirk; Nick Petford; Norman Falcon; Oswald Heer; Peter Clift; Philip Donoghue; Ralph Tate; Richard Baron; Robert Etheridge; Robert Kidston; Sidney H. Haughton; Stuart Olof Agrell; Thomas Henry Holland; Thomas Rupert Jones; Thomas Sergeant Hall; Timothy Holland; William Alexander Deer; William Sawney Bisat
The Richard H. Driehaus Prize at the University of Notre Dame	$null$	0.0	1.0	0.0	0.0	0.5	2003-01-01T00:00:00Z	2003-01-01T00:00:00Z	Léon Krier
The Shaw Prize in Astronomy	$null$	1.0	18.0	0.0	0.0	3.814697265625e-05	2004-01-01T00:00:00Z	2017-01-01T00:00:00Z	Adam Riess; Brian Schmidt; David Clifford Jewitt; David Spergel; Frank Shu; Gerald Jerry Fishman; Jane Luu; Jim Peebles; John F. Hawley; Kip S. Thorne; Lyman Page; Michel Mayor; Rainer Weiss; Reinhard Genzel; Saul Perlmutter; Shaun Cole; Simon White; Steven Balbus; William J. Borucki
